title_en,title_am,similarity_score,alternative_position,reason
Executive issue,,0,Executive Assistant,"Executive issue likely refers to handling executive matters, similar to an executive assistant role."
CBE Birr Operator,,0,Mobile Money Agent,"CBE Birr Operator manages mobile money transactions, equivalent to a mobile money agent."
A creator of children's fairy tales and able to write fairy tales,,0,Children's Book Author,Creating children's fairy tales aligns with being a children's book author.
teacher who can recite the Qur'an,,0,Quran Teacher,Reciting the Quran is a key duty of a Quran teacher.
"A maker of desserts, mainly baklava, halawa and mushebek",,0,Pastry Chef,Making desserts like baklava and halawa is typical for a pastry chef.
nails and eyelashes  professions,,0,Nail and Eyelash Technician,Professions involving nails and eyelashes are done by nail and eyelash technicians.
A receptionist who packs goods and drives a car,,0,Administrative Assistant,"Combining receptionist, packing, and driving duties fits an administrative assistant role."
"A volunteer who can make audio recordings in Aramaic, Tigrinya and English",,0,Voiceover Artist,Making audio recordings in multiple languages is the work of a voiceover artist.
Able to produce vases and other accessories made of cement,,0,Cement Artisan,Producing vases and accessories from cement is done by a cement artisan.
Able to teach and recite the Qur'an,,0,Quran Teacher,Teaching and reciting the Quran is the role of a Quran teacher.
Acting and editing a YouTube show for a new film and theater group,,0,Video Editor,"The role involves editing a YouTube show, which aligns with video editing tasks."
narrator,,0,Voice Actor,Narrator is a type of voice actor providing spoken commentary.
Aluminum expert,,0,Aluminum Fabricator,Expert in aluminum work typically involves fabrication or welding.
Amharic text writer and photoshop designer,,0,Content Writer,"Combines Amharic text writing with design, fitting content creation."
"An expert who can make shapes with paper, fabric and different raw materials",,0,Craft Artist,"Making shapes from paper, fabric, and raw materials is craft artistry."
Answering phone calls for ride and delivery work,,0,Call Center Agent,Answering phone calls for ride and delivery services is a call center role.
Arabic speaking writer,,0,Content Writer,Arabic speaking writer focuses on written content in Arabic.
Artificial grass,,0,Landscaper,Artificial grass installation is a landscaping task.
Assistant juicer,,0,Kitchen Assistant,Assistant juicer is a kitchen helper role in food preparation.
Assistant Professor of Nail and Eyelash,,0,Beauty Technician,Teaching nail and eyelash techniques is a beauty education role.
Asuzu van sales staff,,0,,
Audio recording of Tigrinya language,,0,,
Auxiliary fiber producer,,0,,
Bachelor's degree in history and related fields,,0,,
Bazaar sales employee,,0,,
beginner in the Yage and General Assistant,,0,,
Beginner patcher,,0,,
Beginner vocal and keyboard coach,,0,,
Betting house ticket counter,,0,,
Bicycle rental,,0,,
Breakfast host,,0,,
Brochures and stickers for posters,,0,,
Budding comedy talent,,0,,
Camcorder TV (Fulm),,0,,
Can make Chinese 🇨🇳 food,,0,,
Car body worker,,0,,
Car seat clothes wide,,0,,
Chips and egg sandwiches,,0,,
Cinema host,,0,,
Civics teacher,,0,,
Commission work,,0,,
Computer and mobile home sales,,0,,
Control and deployment of vehicles and machines,,0,,
Copy house worker,,0,,
Cover wide specialist,,0,,
Data collector,,0,,
Decorator,,0,,
Directing and essay writing teacher,,0,,
"Dishwasher, Driller, Plumbing & Maintenance, Electrical Installation & Maintenance, Painter",,0,,
Envoy in regional cities,,0,,
Epoxy specialist,,0,,
Event coordination,,0,,
Fast Amharic writer,,0,,
copy house worker,,0,,
DJ,,0,,
nail and lash specialist,,0,,
narrator,,0,,
share sales and monitoring specialist,,0,,
Field reporter,,0,,
Film mounting and printing services,,0,,
Game Zone Pool Player,,0,,
Grind salt,,0,,
Handicraft (Lace Craftsman),,0,,
Has a hacker and an embroidery singer,,0,,
Ice cream expert,,0,,
"In case of two-wheeler (motorcycle) executor, consignee and consignee and proper preparation of documents.",,0,,
Interviewer,,0,,
Job opportunities for event planning and sales professionals,,0,,
Loader and unloader,,0,,
Made of steel,,0,,
"Magazine, Binder and Photo Shooter",,0,,
Making milkshakes,,0,,
Messenger and executor,,0,,
Network expansion,,0,,
Oromo language audio recording,,0,,
Oromo teacher,,0,,
Oromo to Amharic translator,,0,,
Personality building and motivational speaker,,0,,
Pool House Revenue Officer,,0,,
Preparation of career proposals,,0,,
Producer of a religious YouTube channel,,0,,
Protection,,0,,
Reader for YouTube channel analysis,,0,,
Receipt print/delete section,,0,,
Receiving orders by phone and telegram,,0,,
Safaricom Sales Officer,,0,,
Sale of construction equipment,,0,,
Scallop micropigmentation specialist,,0,,
Scooter riders with their own scooters,,0,,
"Send and control movies, music and games in the cinema",,0,,
Shawarma worker,,0,,
"Short Film Writing for YouTube, YouTube Show Ideas, Sitcom Drama Writing and Acting",,0,,
Skin wide,,0,,
Sound Man Assistant (Carrier),,0,,
Supervising the safety of students,,0,,
Survey,,0,,
Tapestry expert,,0,,
Tele silver agent,,0,,
Telebur agent registrar,,0,,
Telemarketer,,0,,
Telephone call receiver,,0,,
Text for customers entering contract and evidence,,0,,
"The main dessert maker is Bakla, Halau, Mushebek and Fatira maker",,0,,
Vocal / for both genders /,,0,,
keyboardist,,0,,
"aerobics, dance and pregnancy trainers",,0,,
Wet maker,,0,,
Wife's results marketer,,0,,
Writer and Internet user,,0,,
Almunium Worker,,0,,
Gypsum worker,,0,,
Biomedical Equipment maintenance,,0,,
1. Call operator 2. Delivery coordinator,,0,,
Water Proofing Workers,,0,,
content creator,,0,,
Customer Service Support (CSS),,0,,
Photoshoper,,0,,
Senior Java Developer,,0,,
1) Social media manager and content creator,,0,,
2D promo video maker,,0,,
3D Architectural visualizer,,0,,
3D Artist and Blender for YouTube channel,,0,,
3D Character Sculpting Artists,,0,,
3D courses,,0,,
3D creature sculpting,,0,,
3D modeling and PS work,,0,,
3D product visualizer /3D product designer/,,0,,
3D Substance Painter,,0,,
Front End and Back End Developers,,0,,
3rd Party Recovery Assistant,,0,,
Lead and Deputy Team Leader/Technical,,0,,
Abroad study Admission Processing,,0,,
Accessibility Modification Construction Works,,0,,
Access Manager,,0,,
Access to Finance and Private Sector Engagement Specialist for ELSIPB Project,,0,,
"Accountability, Complaint and Feedback officer",,0,,
Accountability (M & E officer),,0,,
Accountability & Safeguarding Advisor - Highland Resilience Activity,,0,,
Accountability to the Affected People (AAP) Specialist,,0,,
Accountant for Transport Business Unit,,0,,
Accountant/IFRS Consultant,,0,,
Accountant II-IFB Finance & Accounts,,0,,
Accountant Internship at LSSYA,,0,,
Accounting and Finance Expert Finance Software Dev't and Implementation Project,,0,,
Accoustic band (Preferably English tunes),,0,,
Acibadem a class health care service,,0,,
Addis Coder Teaching Assistant,,0,,
"Administration and Finance Assistant /Afar region, Teru Woreda",,0,,
Administrator at Terra LAB,,0,,
Admin Officer-IFDC Ethiopia,,0,,
Admission & Placement Head (Registrar Head),,0,,
Admission Process Consultant,,0,,
adobe after effects expert,,0,,
Adobe Photoshop ባለሙያ,,0,,
Adobe premium and Adobe photoshop,,0,,
Adolescent and Youth SRH Technical Advisor,,0,,
ADOLESCENT SEXUAL REPRODUCTIVE HEALTH AND NUTRITION TEAM LEADER,,0,,
Adolescent Youth Health (AYH) Advisor,,0,,
Advanced C++ and/python developer needed,,0,,
Advanced Java (Software Engineering) Tutor,,0,,
Advanced Personal English Instructor,,0,,
Advanced python developer,,0,,
Advanced Telegram Bot Developer,,0,,
Advanced Wordpress programmer,,0,,
Advance Flutter Developer(IOS),,0,,
Advertising arabian clothes and shoe,,0,,
Advertising workshop supervisor,,0,,
"Advisor, Digital Governance and Innovation",,0,,
Advisor (Energizing Health),,0,,
"Advisor, Make way project",,0,,
Advisor to the Head of Sub Delegation,,0,,
"Aesthetics (HPE, Art, Music) Teaacher",,0,,
Afaan Oromo/Amharic to English translator,,0,,
"Afaan Oromo, Environmental Science, ICT, Economics, English Teachers and School Guidance and Counselor",,0,,
Afaan Oromoo Software Translator & Test Engineer,,0,,
ከአማርኛ ወደ Afaan Oromoo Translation,,0,,
Afaan Oromo script/story writer,,0,,
Afaan Oromo speaker video editor,,0,,
Afaan oromo speaking audio and video editor,,0,,
Afaan Oromo to English Translator,,0,,
Afan Oromo and Tigrigna Translator,,0,,
Afan Oromo Phone Call Customer Support,,0,,
Afan Oromo Transcriber,,0,,
Afan Oromo Typist / Secretary,,0,,
"Afar, Somali, and Oromo to English video translation.",,0,,
Afar translator & Proofreader,,0,,
Affan Oromo Speaking Skilled Course Instructors,,0,,
African Union CAADP Program Coordinator for the Post Malabo Process,,0,,
Af Somali translator,,0,,
AfterEffects Animator,,0,,
Agent Relationship Manager (ARM),,0,,
Agribusiness Cluster Development Consultant-Young Professional,,0,,
Agricultura and Market System Development Coordinator,,0,,
Agricultural Inputs Registration and Marketing Sales Head,,0,,
Agriculture Business Proposal Writer needed,,0,,
Agriculture Report Translator,,0,,
AIR TICKET AGRENT,,0,,
Air ticketing and creative Graphics Designer,,0,,
Airtime distribution agents,,0,,
Alternate Channel Administrator ATM/POS,,0,,
Alternate Channels Engineer-Online,,0,,
Aluminium foil supply.,,0,,
Aluminium Foreman,,0,,
Aluminium Technicians and Glass Worker,,0,,
Aluminum Profile Prep and Machinery Technicians,,0,,
የአልሙኒየም ስራ አሰልጣኝ (Aluminum work trainer),,0,,
AmateurJazz band (Amateur jazz playing team),,0,,
Amateur (junior) Reggae band,,0,,
"Amateur vocalist,lyrics and melody writer",,0,,
American accent trainer,,0,,
Amhargna . Biology and English teachers,,0,,
Amharic and English Content Reviewer,,0,,
Amharic and English Dental Health Article Writer,,0,,
Amharic and English journalist,,0,,
Amharic and English Secretary,,0,,
Amharic and English Voice over Artist,,0,,
Amharic and ethics teacher,,0,,
Amharic audio to Amharic doc transcription,,0,,
"Amharic, Biology, Social Studies Teachers for Elementary School",,0,,
"Amharic, English, Afan Oromo, Math, Geography, History, Art , HPE, KG Teachers",,0,,
Amharic interview editor,,0,,
Amharic narrator,,0,,
Amharic Software Translator & Test Engineer,,0,,
Amharic Teacher (2) and English Teachers for KG (3),,0,,
Amharic Teacher for High School and Preparatory,,0,,
amharic to afar language translater,,0,,
Amharic to English translation for poetry and literature content,,0,,
Amharic to geez translator,,0,,
Amharic to Hebrew translator,,0,,
Amharic to Somali translator,,0,,
Amharic video script writer for youtube,,0,,
An article reviewer,,0,,
Andriod and iso application developer,,0,,
Android application developer for existing WordPress website,,0,,
Android app Programer,,0,,
Android Developer with Kotlin and Jetpack Compose,,0,,
Android google maps developer,,0,,
Android Keyboard app creator,,0,,
Android Kotlin developer,,0,,
Android & PHP Developer,,0,,
Android Reverse Engineer,,0,,
An experienced ISO 9001:2015 Consultant,,0,,
Angular 11 and Express JS developer,,0,,
Angular and Flutter developer,,0,,
Angular Developer with Ngrx State Management,,0,,
Angular JS and Express Js Developer,,0,,
Angular JX Developer + NGRX,,0,,
Angular + Loopback 4 developer,,0,,
Angular/React and Java developer,,0,,
Angular / react trainer,,0,,
Animated explainer video creator,,0,,
Animated Infomercial Video Explaining PreWedding Financial Planning,,0,,
Annual vehicle inspection Computer professional,,0,,
ANSYS Fluent software design,,0,,
Antimicrobial Stewardship/Resistance Advisor,,0,,
Anuak/Anyuak/Anywa to English translator,,0,,
Anuual report / infographics designer,,0,,
Anyone who can work with WaterCad and epanet software,,0,,
Anyone with a digital version dictionary,,0,,
Ruby on Rails profession,,0,,
a person that receive voice and SMS messages.,,0,,
A person who will make and sell Cotton candy,,0,,
Apiculture Development Officer,,0,,
Api integration experts,,0,,
"የሞባይል አፕልኬሽን ልክ እንደ "" ፈረስ "" APP",,0,,
Apparentship logo designer,,0,,
Apple Developer Account,,0,,
Apple developer account creator,,0,,
Application Developer with GIS and Taxi App Experience,,0,,
Application Development Instructor in Java,,0,,
Applied chemistry ( industrial chemistry) and environmental health,,0,,
Applied Mathematics Project solution checker,,0,,
App logo maker,,0,,
App Promotional Video Creator,,0,,
Appstore Account Creator,,0,,
APSA Researcher,,0,,
APTS Outcome Assessment Consultant,,0,,
Arabic and mandarin language text content creator,,0,,
Arabic audio recording project,,0,,
Arabic Language Professional,,0,,
Arc GIS assignment assistance,,0,,
Arc GIS assignment assistant,,0,,
Architectural CAD file to 3d model,,0,,
"Architectural Modeling,Visualization and Rendering specialist",,0,,
ARCHITECTURAL TV SHOW HOST,,0,,
Archtects Junior/Senior Who Wants to Present Theire Built/Unbuilt Projects For Tv Audience,,0,,
AR Drawing Production for permit purposes,,0,,
Arduino and related project consultant,,0,,
Arduino Drone or Robotic Arm kit,,0,,
"Arduino, Software engineer, knowledge of PCB.",,0,,
Area Lead- Deris Wanaag,,0,,
Area Sales Head,,0,,
Area Sales Representative Addis Ababa,,0,,
Arichive/ Documentation/officer,,0,,
Arki sport betting,,0,,
Article writer with a Psychology background,,0,,
Artifical grass (Carpet) supplier,,0,,
transitor,,0,,
ASP.NET MVC Developer to help me complete my project,,0,,
Assessment & Examination Unit Head,,0,,
Assessment of Payments for Ecosystem Services (PES) in CLM Project Watersheds,,0,,
Assessor (Job by - Unity Business Group),,0,,
Assessor/ Transistors,,0,,
Assignment Editor,,0,,
Assistance Coordinator (Data to Action and Maternal Immunization Study),,0,,
Assistant 3rd Party Recovery Officer,,0,,
Assistant Chief for Burger & Pizza,,0,,
Assistant Client Communication Specialist (English fluent),,0,,
Assistant for Booking and Scheduling Meetings,,0,,
Assistant for Dump tracks,,0,,
Assistant foreman,,0,,
Assistant for Follow-Up,,0,,
Assistant GSE Operator,,0,,
Assistant Lobed Operator,,0,,
Assistant Matron,,0,,
Assistant Palletizer Operator,,0,,
Assistant Professor or Associate Professor in ENT,,0,,
Assistant Professor or Associate Professor in Gastroenterology,,0,,
Assistant Professor or Associate Professor in Medical Oncology,,0,,
Assistant Professor or Associate Professor in Pediatrics or Neurology,,0,,
Assistant Professor or Associate Professor in Urology,,0,,
Assistant Spare Parts & General Items Store Keeper,,0,,
Assistant to the African Union Team,,0,,
Assistant Towing Machine Operator,,0,,
Assistant Treatment Machine Operator,,0,,
Assistant Utility Operator,,0,,
Associate-Business Process Solution,,0,,
Associate Customer Relationship Manager (IFB),,0,,
Associate ERP Support Specialist (It has been re-advertising as insufficient applicants were not found in the previous advertisement.),,0,,
"Associate, Health Financing",,0,,
Associate I-Risk and Legal,,0,,
Associate KYC Officer,,0,,
Associate Researcher II,,0,,
Associate - Transaction Advisory Services,,0,,
Asst. Director of Sales & Marketing,,0,,
Attorney Litigation- Addis Ababa,,0,,
Audio Advert,,0,,
Audio book narrator,,0,,
Audio Narrator for youtube,,0,,
Audio Visual & Media Documentation Expert,,0,,
Audio – Visual Officer,,0,,
Auditor Service Department Deputy Head,,0,,
Auditor– TLMI Ethiopia Accounts,,0,,
"Audit, Risk Management and Compliance Division Head",,0,,
Auto Body Repair and Welder,,0,,
Auto Body Shop Controller,,0,,
Autocad Designer and Machine operator,,0,,
AUTOCAD DESSIGN,,0,,
AutoCAD Instructor,,0,,
AutoCad / Revit Draftsman,,0,,
Autodesk Revit and 3D max Teacher,,0,,
Automtive Manager,,0,,
a Volunteer Design Project Proposals and Organizational Development,,0,,
Award ceremony announcer,,0,,
AWD Response Regional Coordinator,,0,,
A working VAS software,,0,,
AWS DevOps Engineer,,0,,
Aws DevOps Engineer and Backend Developer with Django,,0,,
Axillary Mechanic,,0,,
B2B & B2C Telesales Executive,,0,,
B2B (business to business) Sales Agent,,0,,
B2B Lead Generation Specialist.,,0,,
baby and patient sitter,,0,,
Baby shower décor,,0,,
Backdoor developer for android,,0,,
backend and frontnd software devloper,,0,,
Backend/API Tester with Django and Django rest framework,,0,,
Backend Developer (Laravel FW),,0,,
Back End Developer(Micro Service Experience ),,0,,
Backend Developer ( Node.js & MongoDb ) Intern,,0,,
Backend Developer | Payment Integrator Expert,,0,,
Backend Developer with JS + Firebase,,0,,
Back End Developer(WIth Micro Service Experience ),,0,,
Backend Developer with NestJs and/or,,0,,
Backend developer with .NET experience,,0,,
BackEnd Django (Python) developer,,0,,
Backend / Fullstack Developer,,0,,
Backend Node Developer,,0,,
Backend Node.js Developer,,0,,
Backend PHP Laravel API Developer,,0,,
Backend Programmer,,0,,
Backend Python developer,,0,,
Backend QA Tester,,0,,
Backend Software,,0,,
Backend System Administrator/Magento and CodeIgniter expert/,,0,,
Back hoe Loader Operator,,0,,
Band for music night,,0,,
Band members,,0,,
Bank Payment Lead,,0,,
Bar Bender Foreman,,0,,
Barber and scalp shampoo massager,,0,,
baresta,,0,,
Base Manager,,0,,
Batching Plant Casting Sight Coordinator,,0,,
Batching Plant Forman,,0,,
Batching Plant Mechanic,,0,,
Bazeto visual effects Train and Hire Program,,0,,
ወጣት ብስክሌተኛ (Bcyle guy),,0,,
BD Agent,,0,,
Beat Maker ( trap..drill..hip hop beat maker),,0,,
Behavior Change Communications Officer (BCC Officer),,0,,
"Best Practice, Stories and Video Documentary Production and Photography Service",,0,,
Bettaa Design and Print,,0,,
የቤቲንግ ቤት ትኬት ቆራጭ (Betting Cashier),,0,,
Bid Document Writer,,0,,
BIM (Building Information Modelling),,0,,
Bim modeler and graphics designer,,0,,
Blocking & Plastering Subcontractors,,0,,
Blog article and Copywriter,,0,,
Bodygard,,0,,
Bonded Ware House Supervisor,,0,,
Book translation from english to amharic,,0,,
Bookworm,,0,,
Bord control,,0,,
Bot development,,0,,
Branch Manager “D” for Kirkos Branch,,0,,
Branding and Talent Attraction Executive,,0,,
Branding Design for our Printing Company,,0,,
Brand logo design for webpage,,0,,
Brand Studio Lead,,0,,
Brochure Design,,0,,
Broschore distribution,,0,,
Browser Automation For Data Entry,,0,,
Budget and Inventory Head,,0,,
Building a Video Streaming Service Using Bubble.io,,0,,
Building General Foreman,,0,,
Burgur and Pizza Waiter and Assistant Shef,,0,,
Business card and flyer distributor for a business,,0,,
Business card designer,,0,,
Business Operations and Website Development Internship/Mentorship,,0,,
Business Pitch Deck Presenter,,0,,
Business Plan for a Ride share App,,0,,
Business Plan & Proposal Writer,,0,,
Business Processing outsource (BPO) expert,,0,,
CAD designer for CNC machine,,0,,
Cad Drawing Cam working Macbine operator,,0,,
የካፌ ሰራተኛ እና ጠቅላላ አገልግሎት / Cafe & Coffee House Personnel,,0,,
Café / Dietary Head,,0,,
Cajon or percession player,,0,,
Call Center & Customers services in Afaan Oromoo,,0,,
call center solution provier,,0,,
Call Center Superivisor,,0,,
"Call for bid- Baseline Survey & Gender, Youth and Social Inclusion (GYSI) Analysis",,0,,
Call for Consultancy: Annual Survey for RAYEE Project,,0,,
Call for Consultancy- Consultancy Service to Conduct End Line Evaluation Study for ACROSS Project in Ethiopia,,0,,
"CALL FOR CONSULTANCY FOR COMPILATION, AND SUMMARIZATION ANALYSIS OF ACCESSIBILITY AUDIT REPORTS",,0,,
"Call for Consultancy Service - End line evaluation of “Emergency Assistance to the Conflict-Displaced IDPs and affected Host Communities of Amhara and Benishangul-Gumuz Regions, Addressing Immediate Basic Needs and Building Resilience”.",,0,,
Call for Consultancy Service for Business Cases _Medium Scale Digester and technological innovation,,0,,
Call for consultancy service for Design Social Behaviour Change Communication (SBCC) strategy for Facial Cleanliness and Handwashing (Based on formative research findings),,0,,
Call for consultancy service for documentation of the impact of bio-slurry on food production,,0,,
Call for Consultancy Service for Implementation of International Public Sector Accounting Standards (IPSAS),,0,,
Call for Consultancy Service for Implementation of International Public Sector Accounting Standards (IPSAS),,0,,
Call for Consultancy Service For inclusive MHM Skill Training On Both Theory & Practice of Pad Making for Girls with Disabilities,,0,,
Call for consultancy service for Resource Mobilization and Partnership Building for HESPI,,0,,
Call for Consultancy Service On Inclusive Media Guidelines and Policy Development,,0,,
Call for Consultancy Service on Reviewing & Producing Inclusive Accessible IEC/BCC Materials on COVID-19 Vaccination and Routine Immunization,,0,,
Call for Consultancy Service – Project Pre-Feasibility Study,,0,,
"Call for Consultancy Services for Developing and Piloting Toolkit for CSOs on Human Rights, Gender Equity and Environment Sustainability",,0,,
Call for Consultancy Services Training Terms of Reference: “Gender Transformative Programming,,0,,
Call for Consultancy Service To Conduct a Rapid Assessment of Challenges Facing Lawyers and Human Rights Organizations working on Strategic Litigation in Ethiopia,,0,,
"Call for consultancy service to conduct project Terminal Evaluation in SNNPR, Wolaita Zone, Boloso Sore and Damot Pulasa districts.",,0,,
Call for consultancy service to conduct salary and benefit survey.,,0,,
Call for Consultancy Service to conduct Stakeholders Mapping and Needs Assessment,,0,,
"Call for Consultancy Service - TO CONDUCT TOT ON “ADULT FACILITATION SKILL” FOCUSING ON CONSERVATION AGRICULTURE TRAINING FOR AGRICULTURE EXPERTS IN OROMIA REGIONS, ETHIOPIA",,0,,
Call for Consultancy Service To prepare Disability Inclusive WASH SBC Materials in Different Formats,,0,,
Call For Consultancy Service to Support The Ethiopian CSO’s Joint Submission For The 2024 UPR,,0,,
"Call for Consultancy Study on Cultural Identity, Intersectionality, and Gender In the Somali Regional State, Ethiopia",,0,,
Call for consultancy- to develop context specific community conversation facilitator guide for child eye health program,,0,,
Call for Consultancy: To facilitate need – based capacity building training on thematic area related to Youth Care Leavers for the social service workforce,,0,,
Call for Consultants – Development & Production of Project Best Practice Document,,0,,
Call for experienced freelancers and experts (individuals or teams) in the creative industry!,,0,,
Call for External Auditor TERMS OF REFERENCE FOR GUASSA PROJECT AUDIT OF KKSGRANT FUND,,0,,
Call for External Audit service for an International Auditor and/or Audit Firm,,0,,
Call for External Gender Expert Consultant,,0,,
Call for HMIS Assessment Consultant,,0,,
Call for Individual Consultant for MINE Project Sentinel Surveillance Assignment,,0,,
Camera man and photho editor .good skill on adobe phothoshop and adobe prime,,0,,
Camera man and social media officer,,0,,
Camera women with her own 5D MARK III / IV Camera,,0,,
Camp & Facility Head,,0,,
Campus Research and Community Engagement Head,,0,,
Candidate Engagement and Partnership Coordinator,,0,,
Candidate Engagement and Partnership Manager,,0,,
Candidate Engagement and Partnership Officer,,0,,
Canva designer,,0,,
Capacity Building Assistant,,0,,
Capacity Building Lead,,0,,
CAPI Household Listing Operation (CHLO),,0,,
CAPI Main & Parallel Surveys (MPS),,0,,
Card Personalization Services Officer I ( Contract 5 Months ),,0,,
ሞግዚት (caregiver ),,0,,
"Carton boxes printing, folder gluer machines operator or assistant",,0,,
Carton Factory Manager,,0,,
"Cartons boxes printing, folder gluer machines operator OR Assistant carton boxes and folder gluer machine operator.",,0,,
ጉዳይ አስፈፃሚ/Case executive,,0,,
Cash and Voucher Assistance Information Management Officer (Re-Advertised),,0,,
CASH-BASED INTERVENTIONS TECHNICAL ADVISOR (Re-advertisement),,0,,
Cash Digital Systems Business Unit Head,,0,,
Cashier + stock controller,,0,,
Cashier using cenet software,,0,,
"Cash, Market & EWEA Technical Advisor",,0,,
Cash Transfer Programming Manger - (Re-advertisement),,0,,
Castle entertainment internet cafe,,0,,
CBE agent,,0,,
ለ cbe birr ኦፕሬተርነት,,0,,
CBE birr ኤጀንት,,0,,
C++ Blender Unity Revit Developer,,0,,
CCM/E Engagement & Coordination Officer,,0,,
CCNP data center management,,0,,
CCR Operator,,0,,
CCTV and Access Control Installer,,0,,
CCTV Camera and Networking Expert,,0,,
CCTV/Security Camera Operaror,,0,,
CDT-Africa Postdoctoral Positions,,0,,
Center Head,,0,,
Center Lead- SRH center,,0,,
Central control system operetor,,0,,
Central Data Processor,,0,,
Centralized Endpoint & Server Management and automation Consultant,,0,,
Central Lab Advisor (1),,0,,
Ceremony Quality Evaluator Team Leader (Re-Advertised),,0,,
Certified content provider and translator for VAS company,,0,,
Certified Free Google Digital Skills,,0,,
Certified High School Teachers with access to internet needed for short project,,0,,
CESP (Community Engagement and Sponsorship Program Officer),,0,,
Chairman's & Group CEO's Office Head,,0,,
Change Management Expert,,0,,
Changing word document font to Unicode font,,0,,
Channel Admin,,0,,
Character animations on Adobe aftereffects,,0,,
